"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"group_1810","","hypothetical protein","0","57","23","13","0.0","18.571428571428573","0.0","6.186028409443342e-13","5.448653823037695e-09","2.984390716128001e-10","2","0","2","0.5","0.5"
"group_2310","","hypothetical protein","0","57","23","13","0.0","18.571428571428573","0.0","6.186028409443342e-13","5.448653823037695e-09","2.984390716128001e-10","2","0","2","0.5","0.5"
"group_298","","hypothetical protein","0","57","23","13","0.0","18.571428571428573","0.0","6.186028409443342e-13","5.448653823037695e-09","2.984390716128001e-10","2","0","2","0.5","0.5"
"besA","","Ferri-bacillibactin esterase BesA","16","0","7","70","69.56521739130434","100.0","inf","6.43771839310082e-13","5.670342360643202e-09","2.984390716128001e-10","1","1","0","1.0","1.0"
"feuB","","Iron-uptake system permease protein FeuB","16","0","7","70","69.56521739130434","100.0","inf","6.43771839310082e-13","5.670342360643202e-09","2.984390716128001e-10","1","1","0","1.0","1.0"
"yusV","","putative siderophore transport system ATP-binding protein YusV","16","0","7","70","69.56521739130434","100.0","inf","6.43771839310082e-13","5.670342360643202e-09","2.984390716128001e-10","1","1","0","1.0","1.0"
"group_3929","","hypothetical protein","16","0","7","70","69.56521739130434","100.0","inf","6.43771839310082e-13","5.670342360643202e-09","2.984390716128001e-10","1","1","0","1.0","1.0"
"feuA","","Iron-uptake system-binding protein","16","0","7","70","69.56521739130434","100.0","inf","6.43771839310082e-13","5.670342360643202e-09","2.984390716128001e-10","1","1","0","1.0","1.0"
"feuC_1","","Iron-uptake system permease protein FeuC","16","0","7","70","69.56521739130434","100.0","inf","6.43771839310082e-13","5.670342360643202e-09","2.984390716128001e-10","1","1","0","1.0","1.0"
"group_2948","","hypothetical protein","17","1","6","69","73.91304347826086","98.57142857142858","195.5","9.74898503070049e-13","8.586906015040993e-09","3.73343739784391e-10","2","1","1","1.0","1.0"
"bcsA","","Cellulose synthase catalytic subunit [UDP-forming]","17","1","6","69","73.91304347826086","98.57142857142858","195.5","9.74898503070049e-13","8.586906015040993e-09","3.73343739784391e-10","2","1","1","1.0","1.0"
"group_5428","","hypothetical protein","17","1","6","69","73.91304347826086","98.57142857142858","195.5","9.74898503070049e-13","8.586906015040993e-09","3.73343739784391e-10","2","1","1","1.0","1.0"
"group_7758","","hypothetical protein","17","1","6","69","73.91304347826086","98.57142857142858","195.5","9.74898503070049e-13","8.586906015040993e-09","3.73343739784391e-10","2","1","1","1.0","1.0"
"xerD_1","","Tyrosine recombinase XerD","0","56","23","14","0.0","20.0","0.0","1.6348789367814504e-12","1.4400013675171015e-08","6.000005697987923e-10","2","0","2","0.5","0.5"
"group_3091","","hypothetical protein","0","55","23","15","0.0","21.428571428571427","0.0","4.1416933065130495e-12","3.648003464376694e-08","1.1382129290956705e-09","2","0","2","0.5","0.5"
"group_6113","","hypothetical protein","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"ybjI_2","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_6282","lytR_2","Transcriptional regulator LytR","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_1352","","hypothetical protein","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_6283","","hypothetical protein","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_2666","","hypothetical protein","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_6284","","hypothetical protein","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_2667","","hypothetical protein","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_6285","yagU","Inner membrane protein YagU","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_4863","","hypothetical protein","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"ybjI_1","","5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"tauB","","Taurine import ATP-binding protein TauB","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_6294","","hypothetical protein","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"maa_1","","Maltose O-acetyltransferase","18","3","5","67","78.26086956521739","95.71428571428572","80.4","5.039771143815979e-12","4.439030423473115e-08","1.1382129290956705e-09","2","1","1","1.0","1.0"
"group_5543","","hypothetical protein","15","0","8","70","65.21739130434783","100.0","inf","6.2767754332733026e-12","5.528583801627125e-08","1.3484350735675914e-09","1","1","0","1.0","1.0"
"group_1786","","hypothetical protein","15","0","8","70","65.21739130434783","100.0","inf","6.2767754332733026e-12","5.528583801627125e-08","1.3484350735675914e-09","1","1","0","1.0","1.0"
"group_3301","","hypothetical protein","6","68","17","2","26.08695652173913","2.857142857142857","0.010380622837370242","8.562473487627629e-12","7.541826647902415e-08","1.7956730114053369e-09","2","1","1","1.0","1.0"
"rbsK/rbiA","","Bifunctional ribokinase/ribose-5-phosphate isomerase A","16","1","7","69","69.56521739130434","98.57142857142858","157.71428571428572","1.0007725865638531e-11","8.814804942454418e-08","1.8525017592537712e-09","2","1","1","1.0","1.0"
